,Property_Type,Area,Status,Floor,Transaction_Type,Property_Furnishing,Direction_Facing,Description,Price,Price_per_sqft
13,1 BHK ,350 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,North - East,"1 BHK This flat is only 2 min away from metro. Near to school park hospital market petrol pump and bank. Good material used in construction of this floor. Rohini Sector 24, New Delhi has an appealing 1 BHK flat for sale with various amenities. A spacious flat with a carpet area of 350 square feet, it is suitable for any family. The building has a total of 4 floors and this apartment for sale is located on floor number 1. There are 1 well-appointed bedrooms, including the master bedroom that is modern and spacious. Enjoy a scenic view from the 1 balconies which are attached with the rooms. For convenience of all the family member, the flat has 1 bathrooms. The flat offers a sturdy flooring of marble,normal tiles/kotah stone for more durability. 1 open parking space is also offered for this 1 BHK apartment. This flat faces north - east giving it a vantage position. It overlooks the garden/park, main road and offers a soothing view while you enjoy your evening tea. This flat for resale is a choice property. This apartment ready to move in the Rohini Sector 24 is available for an attractive price of INR 32 Lac. The flat has been handed over to the buyer on jan '22, which is its date of possession. The apartment is semi-furnished. Significant landmarks in its proximity are near by the sovereign school. This stunning 1 BHK equipped with all amenities is up for sale at Rohini Sector 24, New Delhi - Rohini, Delhi NCR.",₹32 Lac,₹8000 per sqft
14,1 BHK ,550 sqft,Ready to Move,Ground out of 3,Resale,Semi-Furnished,North - East,"This is janta joda flat ground floor 2 bedroom attached with 2 bathroom, 2 balconies society flat in premier locations.This Freehold flat is soberly designed and , all essential electricals fitted, wardrobe in all bedrooms, marble flooring. The flat is Park and north East facing. Society offers Power back up, Intercom, Well maintained premises, Security, Water facility available for 24 hours",₹40 Lac,₹7273 per sqft
15,3 BHK ,720 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,South - East,3 BHK Builder Floor in DwarkaDwarka Mor fully furnished three bedroom set with dinning hallFreehold PropertyUpto 90 Home Loan availableModular Kitchen with electronic chimneyReserved ParkingAmple space for visitor parkingBathroom with modern facilitiesComplete lights in all room03 Almirah in bedroom with dressing tableSeparate Electric water meter connectionSeparate Water Tank at roofElectronic door lock system with Intercom facilityFall Ceiling work in all roomsTexture Paint in all room24X7 running water branded electric fittingImported Vitrified Tile flooring well connected to main road etc.Texture paint 3D wallpaper in all rooms,₹35 Lac,₹4118 per sqft
16,1 BHK ,450 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,North,"Newly Constructed Builder Floor in the most demanded location of Delhi. Mohan Garden is next to Dwarka with all nearby facilities like Park, Vegas Mall, Metro Station, Hospitals & Schools. All these are within the proximity of 2KMs.::::::::Guranteed structual Quality with all branded appliances used in building the floor. Tastefully designed with Front Balcony view with Proper sunlight & Air in all the rooms. Living room, Bathroom & Kitchen are well ventilated. 25Ft front wide road & Reserved Car parking are unique feature of property. 5 Mins to Main Najafgarh Road & Access to both DK & Gurudwara rd",₹23 Lac,₹5111 per sqft
17,1 BHK ,650 sqft,Ready to Move,2 out of 4,New Property,Unfurnished,East,"near Mundka metro station 1 BHK flat available for sale in New Delhi in the prime location of Lok Nayak Puram, Bakkarwala. It gives a comfortable environment for the entire family with a carpet area of 650 square feet. 2 floor is for sale. However, there are 4 floors in the building. The 1 BHK flat has 1 well-ventilated bedrooms, including the master bedroom, which has a classic look. The 1 balconies are not only a delight to the eyes with beautiful views, but come with proper ventilation and sunlight. For the convenience of the residents, there are 1 bathrooms. The mosaic flooring gives a classic look to the flat. The flat has an added advantage that it faces in east direction. It presents a nice view as it overlooks the garden/park. This flat all equipped with required facilities, is up for sale. This ready to move flat in Lok Nayak Puram, Bakkarwala can be taken at a very economical pricing of INR 15 Lac. This immaculate house boasts of coming in unfurnished form which takes the entire deal to the next level. Some neighbouring landmarks are near mudka metro station. This 1 BHK flat for sale is located at Lok Nayak Puram, Bakkarwala, New Delhi - West, Delhi NCR.",₹15 Lac,₹2308 per sqft
18,2 BHK ,600 sqft,Ready to Move,3 out of 3,Resale,Semi-Furnished,East,"renovated 2 bhk in heart of city This exquisite 2 BHK Flat is offered for sale in Dwarka, New Delhi. It is based at Mohan Garden complex, that occupies a prominent place in the locality. Having a carpet area of 600 square feet, it is spacious enough for all the family members to live comfortably. This 2 BHK flat is on 3 floor. There are a total of 3 floors in the building. Savour the luxury of living in a spacious home with 2 bedrooms that are airy and designed for optimum privacy. This beautiful flat on sale comes with 1 balconies which are great for relaxation, reading or enjoying the view. For the convenience of the residents, there are 2 bathrooms. This flat faces east giving it a vantage position. It overlooks the main road which adds to its appeal. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This apartment ready to move in the Dwarka is available for an attractive price of INR 30 Lac. This contemporary apartment is semi-furnished. Visit 2 BHK flat for sale at Mohan Garden, Dwarka, New Delhi - Dwarka, Delhi NCR.",₹30 Lac,₹4762 per sqft
19,2 BHK ,60 sqyrd,Ready to Move,3 out of 3,Resale,Unfurnished,2,"Builder Floor Apartment is located at the advantageous 3rd floor in a tower of total 3 floors. The age of construction for this apartment Builder Floor Apartment is Less than 5 years. The location has easy access to, State Bank of India (0 km ), Dr Zakir Hussain Senior Secondary School (1 km ), Zameer Market (1 km ) and Welcome Metro Station (6 km ).",₹23 Lac,₹4259 per sqft
20,1 BHK ,345 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,1,"This exquisite 1 BHK Flat is offered for sale in Rohini Sector 34, New Delhi. In a building there are 4 floors and the flat for sale is on 1 floor. This flat has 1 bedrooms, which resonate with modern elegance. There are 1 bathrooms for the residents' convenience. This flat for resale is just the type of property you have been searching for! In Rohini Sector 34, this ready to move flat is available at an attractive price of INR 16 Lac. This contemporary apartment is semi-furnished. The 1 BHK flat for sale is located at Rohini Sector 34, New Delhi - Rohini, Delhi NCR.",₹16 Lac,₹4638 per sqft
21,2 BHK ,550 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,West,"Multistorey Apartment is located on 3rd floor. It faces West direction. The type of ownership is Freehold. Reserved covered car parking for residents available. The Multistorey Apartment is newly constructed. Flooring of type Marble covers maximum part of the house. The location has easy access to, GD Goenka School (0 km ), Begampur Main Market (0 km ), Union Bank (0 km ) and Nangloi Railway Station (7 km ).",₹32 Lac,₹5818 per sqft
22,2 BHK ,530 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,East,"This lovely 2 BHK Flat in Mansa Ram Park, New Delhi is up for sale. A spacious flat with a carpet area of 530 square feet, it is suitable for any family. 1 floor is for sale. However, there are 4 floors in the building. The 2 BHK property is equipped with 2 spacious bedrooms, including the master bedroom that is elegantly designed. The strategically placed 1 balconies provide a good view and natural sunlight into the 2 BHK flat apartment. There are 1 bathrooms for the convenience of the habitants. The flat is embellished with classy marble flooring that gives an added touch of elegance. The 1 covered car parking is a salient feature of this 2 BHK flat on sale. The fact that the apartment is facing the east gives it an edge. It is enhanced by the fact of its overlooking view of the main road. This apartment is a property of choice for resale. In Mansa Ram Park, this ready to move flat is available at an attractive price of INR 26 Lac. The apartment is semi-furnished. The flat is easily approachable because it is near to near nawada metro station. This stunning 2 BHK equipped with all amenities is up for sale at Mansa Ram Park, New Delhi - West, Delhi NCR.",₹26 Lac,₹4815 per sqft
23,1 BHK ,55 sqyrd,Ready to Move,2 out of 4,Resale,Semi-Furnished,1,"This exquisite 1 BHK Flat is offered for sale in Shakarpur, New Delhi. The flat at 2 floor is on sale and is part of building having 4 floors. This flat has 1 bedrooms, which resonate with modern elegance. The 1 BHK flat has 1 number of bathrooms. This flat is available as a resale property. The ready to move flat in Shakarpur is all ready for sale at a low-priced budget of INR 15.7 Lac. This premium semi-furnished flat spells quality and comfort at a competitive price. The exact address of this 1 BHK flat for sale is Shakarpur, New Delhi - East, Delhi NCR.",₹15.7 Lac,₹3172 per sqft
24,1 BHK ,45 sqyrd,Ready to Move,4 out of 4,Resale,Unfurnished,North - East,"I am selling my 4th Floor with roof right in kakrola on old palam road near by ram mandir, Dwarka Mor 1 BHK flat available for sale in New Delhi in the prime location of Dwarka Mor. The apartment sprawls a carpet area of 45 square feet and flaunts a unique style. There are 4 floors in the building, and this apartment for sale is on floor number 4. The master bedroom of the flat provides an elegant look and in total it has 1 bedrooms with proper ventilation. The 1 balconies offers a nice view and free airflow into the flat. The 1 BHK flat has 1 number of bathrooms. The flat comes with well-built vitrified flooring that adds more chic to the entire house. This north - east facing flat is advantageous as per vastu also. It overlooks the main road which is a delight to the eyes. This flat is available as a resale property. The ready to move flat in Dwarka Mor is all ready for sale at a low-priced budget of INR 14.9 Lac. The flat is unfurnished and is suitable for any family size. The property is constructed with proximity to major landmarks like near ram mandir. Visit 1 BHK flat for sale at Dwarka Mor, New Delhi - West, Delhi NCR.",₹14.9 Lac,₹3311 per sqft
